place,href,name
1,/person/ekopejka,Евгений Копейка
2,/person/dbashuk,Дмитрий Башук
3,/person/dzharkov,Дмитрий Жарков
4,/person/akorobejnikov,Александр Коробейников
5,/person/bshojkhet,Борис Шойхет
6,/person/oneumyvakina,Ольга Неумывакина
7,/person/alkudryavtsev,Александр Кудрявцев
8,/person/apaevsky,Алексей Паевский
9,/person/bmonosov,Борис Моносов
10,/person/mmatveev,Мишель Матвеев
11,/person/knaumenko,Константин Науменко
12,/person/mmerzlyakov,Максим Мерзляков
13,/person/lklimovich,Леонид Климович
14,/person/mevlanov,Максим Евланов
15,/person/dborok,Дмитрий Борок
16,/person/abelkin,Анатолий Белкин
17,/person/okhvorova,Ольга Хворова
18,/person/ehgolub,Эдуард Голуб
19,/person/mperlin,Михаил Перлин
20,/person/ivolobuev,Игорь Волобуев
21,/person/dsolovev,Дмитрий Соловьёв
22,/person/vmyalov,Виктор Мялов
23,/person/burda,Борис Бурда
24,/person/vostrovsky,Владимир Островский (Киев)
25,/person/mivanov,Михаил Иванов (Саратов)
26,/person/abogoslovsky,Алексей Богословский
27,/person/yuvymenets,Юрий Выменец
28,/person/sshibanov,Серафим Шибанов
29,/person/tleschenko,Татьяна Лещенко
30,/person/alisyansky,Александр Лисянский
31,/person/mrusso,Максим Руссо
32,/person/akuzma,Андрей Кузьма
33,/person/dsarkanich,Денис Сарканич
34,/person/vsannikov,Вячеслав Санников
35,/person/tbarsky,Тимур Барский
36,/person/eponikarov,Евгений Поникаров
37,/person/akolesov,Артем Колесов
38,/person/vpostnyj,Всеволод Постный
39,/person/amatukhno,Артем Матухно
40,/person/nfarukshin,Наиль Фарукшин
41,/person/sterentev,Сергей Терентьев
42,/person/asidorenkov,Александр Сидоренков
43,/person/mpotashev,Максим Поташев
44,/person/ksakharov,Константин Сахаров
45,/person/pershov,Павел Ершов
46,/person/gostrov,Григорий Остров
47,/person/apolevoj,Алексей Полевой
48,/person/opelipejchenko,Олег Пелипейченко
49,/person/nkudryashova,Наталья Кудряшова
50,/person/drybachuk,Денис Рыбачук
51,/person/arozhdestvin,Александр Рождествин
52,/person/achizhov,Александр Чижов
53,/person/ityunkin,Игорь Тюнькин
54,/person/atrefilov,Алексей Трефилов
55,/person/unknownauthor,Автор Неизвестный
56,/person/vkrikunov,Владимир Крикунов
57,/person/ekalyukov,Евгений Калюков
58,/person/sspeshkov,Сергей Спешков
59,/person/agnoevykh,Алексей Гноевых
60,/person/mlokshin,Михаил Локшин
61,/person/psolakhyan,Павел Солахян
62,/person/skozlovtula,Сергей Козлов (Тула)
63,/person/mmalkin,Михаил Малкин
64,/person/aliber,Александр Либер
65,/person/acherdantsev,Андрей Черданцев
66,/person/lgelfand,Леонид Гельфанд
67,/person/okuzma,Ольга Кузьма
68,/person/aboronenko,Алексей Бороненко
69,/person/mkarpuk,Михаил Карпук
70,/person/nkovrizhnykh,Николай Коврижных
71,/person/dnekrylov,Дмитрий Некрылов
72,/person/iratner,Илья Ратнер
73,/person/andsoldatov,Андрей Солдатов
74,/person/rkhajbullin,Ренат Хайбуллин
75,/person/msavchenkov,Михаил Савченков
76,/person/ikolmakov,Игорь Колмаков
77,/person/tvakhriv,Тарас Вахрив
78,/person/sshorgin,Сергей Шоргин
79,/person/yuvashkulat,Юрий Вашкулат
80,/person/vleonchenko,Валерий Леонченко
81,/person/anabramov,Андрей Абрамов
82,/person/snikolenko,Сергей Николенко
83,/person/vkalashnikov,Вадим Калашников (Москва)
84,/person/asaksonov,Антон Саксонов
85,/person/dsmirnov,Дмитрий Смирнов (Москва)
86,/person/kmzareulov,Константин Мзареулов
87,/person/abojkokiev,Андрей Бойко (Киев)
88,/person/anoritsin,Алексей Норицин
89,/person/agrammatik,Андрей Грамматик
90,/person/erubashkin,Евгений Рубашкин
91,/person/nlegenky,Николай Лёгенький
92,/person/idemyantsev,Игорь Демьянцев
93,/person/eyarkov,Евгений Ярков
94,/person/vkrivolapov,Валерий Криволапов
95,/person/askirenko,Андрей Скиренко
96,/person/ppetrov,Павел Петров
97,/person/smereminsky,Станислав Мереминский
98,/person/avedekhin,Александр Ведехин
99,/person/emirotin,Евгений Миротин
100,/person/mmozul,Максим Мозуль
